category,model,uc_prob,tc_prob
coding,gemini-2.5-pro,0.9193057417869568,0.7663374543190002
coding,deepseek-r1-0528,0.8674198389053345,0.5441980957984924
coding,gpt-4o-2024-11-20,0.8601978421211243,0.4993947446346283
coding,gemini-2.5-pro-preview-03-25,0.8401602506637573,0.5063443779945374
coding,grok-4-0709,0.8356409072875977,0.49910908937454224
coding,llama-4-maverick-03-26-experimental,0.6980299353599548,0.4965681731700897
coding,o3-2025-04-16,0.690984308719635,0.4970158040523529
coding,chatgpt-4o-latest-20250326,0.6297318339347839,0.49453625082969666
other,gemini-2.5-pro,0.922196090221405,0.7516667246818542
other,gemini-2.5-pro-preview-03-25,0.7687035202980042,0.4819844365119934
other,chatgpt-4o-latest-20250326,0.6388196349143982,0.4987657964229584
other,llama-4-maverick-03-26-experimental,0.619674026966095,0.4851873517036438
other,grok-3-preview-02-24,0.6026641130447388,0.4855198860168457
other,o3-2025-04-16,0.5875913500785828,0.49597659707069397
other,grok-3-mini-beta,0.5451037287712097,0.4517892301082611
other,gemini-2.0-flash-thinking-exp-01-21,0.5076712369918823,0.4835464060306549
