model,tc_prob,uc_prob,win_rate_score,btl_score,elo_score,rank_centrality_score
gemini-2.5-pro,0.6979536,0.91538465,0.726710753306498,0.8766336498876387,1753.7486900468864,0.03476684625272038
gemini-2.5-pro-preview-03-25,0.471863,0.8307487,0.6818622696411252,0.6914847766705203,1624.6340500755678,0.02427950121923949
chatgpt-4o-latest-20250326,0.49411604,0.6426138,0.6439595529536988,0.5164045437060422,1678.95098817035,0.02896696739599789
o3-2025-04-16,0.48954397,0.6122832,0.6461874317791985,0.5125859280796367,1604.5485621221417,0.02842185238238691
grok-3-preview-02-24,0.47802448,0.60547113,0.6279017354068064,0.46106172688783764,1541.8369984028568,0.02700849235100781
grok-3-mini-beta,0.37710714,0.5291641,0.500697350069735,-0.05326261068277,1402.3034829285007,0.01883632761141041
gemini-2.5-flash-preview-04-17,0.460335,0.49497217,0.5639487319334606,0.1793524192945617,1626.606792018461,0.022737456997858386
gemini-2.0-flash-thinking-exp-01-21,0.44451538,0.45803666,0.5610687022900763,0.09054213489813843,1505.2128762739912,0.020104796143958013
o4-mini-2025-04-16,0.39208063,0.4113538,0.5370887981079338,0.08287482741106385,1531.5306160633504,0.020683945027206524
llama-4-maverick-03-26-experimental,0.4630892,0.40936345,0.6185399768250289,0.42028770201835786,1626.5654357634558,0.026022931957673943
