trial,seed,n,core_size,target_solution,m_per_pair,missing_rate,label_noise,edge_estimator,reachability,K,tau,runtime_sec,topk_f1,topk_jaccard,topk_fpr,topk_fnr,topk_tp,auroc,auprc,brier,ece,score_gap,pred_core_size_topk
0,0,15,3,UC,5,0.0,0.02,posterior_edge,max_min,2,0.035,0.003445416921749711,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.1782692907919485,0.31718256386392385,0.5528973969681332,3.0
0,0,15,3,UC,5,0.0,0.02,posterior_edge,max_min,14,0.035,0.0034628750290721655,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.1782692907919485,0.31718256386392385,0.5528973969681332,3.0
0,0,15,3,UC,5,0.0,0.02,posterior_edge,prob_or,2,0.035,0.003352625062689185,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.1782692907919485,0.31718256386392385,0.5528973969681332,3.0
0,0,15,3,UC,5,0.0,0.02,posterior_edge,prob_or,14,0.035,0.0034835829865187407,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.1782692907919485,0.31718256386392385,0.5528973969681332,3.0
0,0,15,3,UC,5,0.0,0.02,weighted_mean,max_min,2,0.035,0.0032682910095900297,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.14737669276915294,0.22467079851328636,0.09163118764439337,3.0
0,0,15,3,UC,5,0.0,0.02,weighted_mean,max_min,14,0.035,0.003339833114296198,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.14737669276915294,0.22467079851328636,0.09163118764439337,3.0
0,0,15,3,UC,5,0.0,0.02,weighted_mean,prob_or,2,0.035,0.0032570830080658197,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.14737669276915294,0.22467079851328636,0.09163118764439337,3.0
0,0,15,3,UC,5,0.0,0.02,weighted_mean,prob_or,14,0.035,0.003400542074814439,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.14737669276915294,0.22467079851328636,0.09163118764439337,3.0
0,0,15,3,UC,5,0.0,0.02,missing_as_half,max_min,2,0.035,0.0032309580128639936,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444444,0.8055555555555556,0.1684471594945193,0.19852724256624915,0.6885846169414718,3.0
0,0,15,3,UC,5,0.0,0.02,missing_as_half,max_min,14,0.035,0.003319249954074621,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444444,0.8055555555555556,0.1684471594945193,0.19852724256624915,0.6885846169414718,3.0
