seed,m_per_pair,bin,lo,hi,count,mean_estimated_prob,mean_true_prob,abs_error
0,10,0,0.0,0.1,5,0.04545454545454545,0.1988773781824298,0.15342283272788435
0,10,1,0.1,0.2,20,0.13636363636363633,0.20821089499387035,0.07184725863023403
0,10,2,0.2,0.30000000000000004,22,0.22727272727272732,0.22763567115836428,0.0003629438856369571
0,10,3,0.30000000000000004,0.4,23,0.3181818181818183,0.27428563755981444,0.043896180622003844
0,10,4,0.4,0.5,14,0.4090909090909091,0.3481952601916308,0.06089564889927834
0,10,5,0.5,0.6000000000000001,32,0.5397727272727273,0.5664145736661615,0.026641846393434254
0,10,6,0.6000000000000001,0.7000000000000001,23,0.6818181818181818,0.7257143624401856,0.043896180622003844
0,10,7,0.7000000000000001,0.8,22,0.7727272727272729,0.7723643288416357,0.00036294388563717916
0,10,8,0.8,0.9,20,0.8636363636363636,0.7917891050061296,0.071847258630234
0,10,9,0.9,1.0,5,0.9545454545454547,0.8011226218175702,0.15342283272788448
1,10,0,0.0,0.1,11,0.04545454545454544,0.11974963958471507,0.07429509413016963
1,10,1,0.1,0.2,11,0.13636363636363633,0.20946425237720004,0.07310061601356371
1,10,2,0.2,0.30000000000000004,24,0.2272727272727273,0.23488003034986438,0.007607303077137084
1,10,3,0.30000000000000004,0.4,21,0.31818181818181823,0.30540818181993584,0.01277363636188239
1,10,4,0.4,0.5,18,0.40909090909090906,0.35416765991178323,0.05492324917912583
1,10,5,0.5,0.6000000000000001,32,0.5511363636363635,0.5820306912996219,0.030894327663258392
1,10,6,0.6000000000000001,0.7000000000000001,21,0.6818181818181819,0.6945918181800641,0.012773636361882224
1,10,7,0.7000000000000001,0.8,24,0.7727272727272728,0.7651199696501356,0.007607303077137195
1,10,8,0.8,0.9,11,0.8636363636363636,0.7905357476227999,0.07310061601356377
1,10,9,0.9,1.0,11,0.9545454545454547,0.8802503604152849,0.07429509413016977
