seed,method,solution,bin,lo,hi,count,mean_score,empirical_membership,abs_error
0,ste_posterior_edge_uc,UC,0,0.0,0.1,3,0.02631578947368421,0.0,0.02631578947368421
0,ste_posterior_edge_uc,UC,1,0.1,0.2,1,0.15789473684210528,0.0,0.15789473684210528
0,ste_posterior_edge_uc,UC,2,0.2,0.30000000000000004,3,0.2456140350877193,0.0,0.2456140350877193
0,ste_posterior_edge_uc,UC,3,0.30000000000000004,0.4,2,0.34210526315789475,0.0,0.34210526315789475
0,ste_posterior_edge_uc,UC,4,0.4,0.5,2,0.4736842105263158,0.0,0.4736842105263158
0,ste_posterior_edge_uc,UC,6,0.6000000000000001,0.7000000000000001,1,0.6842105263157894,0.0,0.6842105263157894
0,ste_posterior_edge_uc,UC,8,0.8,0.9,1,0.8947368421052632,1.0,0.10526315789473684
0,ste_posterior_edge_uc,UC,9,0.9,1.0,2,0.9736842105263157,1.0,0.026315789473684292
0,ste_plugin_uc,UC,0,0.0,0.1,1,0.0,0.0,0.0
0,ste_plugin_uc,UC,2,0.2,0.30000000000000004,8,0.24638088820667597,0.0,0.24638088820667597
0,ste_plugin_uc,UC,3,0.30000000000000004,0.4,1,0.3741937929554484,0.0,0.3741937929554484
0,ste_plugin_uc,UC,4,0.4,0.5,3,0.48557774775576673,0.3333333333333333,0.15224441442243342
0,ste_plugin_uc,UC,7,0.7000000000000001,0.8,1,0.7610245263717249,1.0,0.2389754736282751
0,ste_plugin_uc,UC,9,0.9,1.0,1,1.0,1.0,0.0
0,winrate,UC,0,0.0,0.1,1,0.0,0.0,0.0
0,winrate,UC,1,0.1,0.2,1,0.15068493150684942,0.0,0.15068493150684942
0,winrate,UC,2,0.2,0.30000000000000004,1,0.21917808219178084,0.0,0.21917808219178084
0,winrate,UC,3,0.30000000000000004,0.4,1,0.39726027397260305,0.0,0.39726027397260305
0,winrate,UC,4,0.4,0.5,3,0.46118721461187234,0.0,0.46118721461187234
0,winrate,UC,5,0.5,0.6000000000000001,1,0.5342465753424658,0.0,0.5342465753424658
0,winrate,UC,6,0.6000000000000001,0.7000000000000001,2,0.6575342465753427,0.0,0.6575342465753427
0,winrate,UC,7,0.7000000000000001,0.8,1,0.7671232876712332,0.0,0.7671232876712332
0,winrate,UC,8,0.8,0.9,2,0.8630136986301369,0.5,0.3630136986301369
0,winrate,UC,9,0.9,1.0,2,0.9657534246575343,1.0,0.03424657534246567
0,btl,UC,0,0.0,0.1,1,0.0,0.0,0.0
0,btl,UC,1,0.1,0.2,2,0.15554856079880525,0.0,0.15554856079880525
0,btl,UC,4,0.4,0.5,2,0.4644044740576665,0.0,0.4644044740576665
0,btl,UC,5,0.5,0.6000000000000001,3,0.5461494888810828,0.0,0.5461494888810828
0,btl,UC,6,0.6000000000000001,0.7000000000000001,1,0.6549737852280244,0.0,0.6549737852280244
0,btl,UC,7,0.7000000000000001,0.8,2,0.7561622588805563,0.0,0.7561622588805563
0,btl,UC,8,0.8,0.9,2,0.8646942206800783,0.5,0.3646942206800783
0,btl,UC,9,0.9,1.0,2,0.9919573150793186,1.0,0.008042684920681387
0,rank_centrality,UC,0,0.0,0.1,3,0.01346482512912691,0.0,0.01346482512912691
