trial,seed,trial_seed,n,core_size,target_solution,planted_core_size,m_per_pair,missing_rate,label_noise,margin_out,method,reachability,K,tau,runtime_sec,topk_f1,topk_jaccard,topk_fpr,topk_fnr,topk_tp,auroc,auprc,brier,ece,score_gap,pred_core_size_topk,edge_orientation_error_observed,posterior_samples,solution,mean_tc_score,mean_uc_score
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,ste_posterior_edge_uc,max_min,14,0.035,0.009175457991659641,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.15784856879039702,0.30350877192982456,0.5833333333333335,3.0,,40.0,1.0,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,ste_plugin_uc,max_min,14,0.035,0.002431208034977317,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9722222222222222,0.9166666666666665,0.24101755130341976,0.3269713182505539,0.07855761994838328,3.0,0.12380952380952381,,1.0,0.47856425392067814,0.691117818861398
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,hard_uc,na,14,0.035,0.0003197919577360153,0.5333333333333333,0.39599999999999996,0.11666666666666664,0.46666666666666656,1.6,0.8333333333333334,0.42857142857142855,0.26666666666666666,0.26666666666666666,0.6666666666666667,3.0,,,,,
0,0,18503520,15,3,TC,3,5,0.0,0.02,0.26,hard_tc,na,14,0.035,0.0002995829563587904,0.22666666666666666,0.16,0.19333333333333333,0.7733333333333333,0.68,0.5,0.2,0.25,0.3,0.0,3.0,,,,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,winrate,na,14,0.035,0.00015591690316796303,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.20749506903353065,0.3623931623931624,0.23313492063492053,3.0,,,,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,btl,na,14,0.035,0.0019176248461008072,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.21220545983175884,0.37167684262464473,1.2727731852608906,3.0,,,,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,rank_centrality,na,14,0.035,0.00021620909683406353,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.06773971372295931,0.203221744739959,0.10178713148924579,3.0,,,,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,hodge,na,14,0.035,0.0011519170366227627,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.21414285825728008,0.35103731073474664,1.0946147425469954,3.0,,,,,
0,0,18503520,15,3,UC,3,5,0.0,0.02,0.26,copeland,na,14,0.035,4.624994471669197e-05,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2132231404958678,0.3575757575757576,11.666666666666668,3.0,,,,,
1,1,18503620,15,3,UC,3,5,0.0,0.02,0.26,ste_posterior_edge_uc,max_min,14,0.035,0.009136290987953544,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.15529583637691743,0.28288288288288294,0.5729166666666665,3.0,,40.0,1.0,,
