seed,n,core_size,m_per_pair,missing_rate,observed,true_abs_margin,empirical_abs_margin,comparison_count
0,15,3,10,0.1,True,0.2642574409590148,0.18181818181818182,10
0,15,3,10,0.1,True,0.15217862621326905,0.18181818181818177,10
0,15,3,10,0.1,True,0.23764007125743192,0.36363636363636365,10
0,15,3,10,0.1,True,0.2569213214124466,0.2727272727272727,10
0,15,3,10,0.1,True,0.12349273923413173,0.36363636363636365,10
0,15,3,10,0.1,True,0.41917379306113556,0.18181818181818182,10
0,15,3,10,0.1,True,0.07999999999999996,0.18181818181818177,10
0,15,3,10,0.1,True,0.36528866483358835,0.36363636363636365,10
0,15,3,10,0.1,True,0.2765079477777097,0.2727272727272727,10
0,15,3,10,0.1,True,0.2018488367165605,0.09090909090909088,10
0,15,3,10,0.1,False,0.2757550512255966,,0
0,15,3,10,0.1,True,0.3975091034199174,0.2727272727272727,10
0,15,3,10,0.1,True,0.08727231409770475,0.45454545454545453,10
0,15,3,10,0.1,True,0.33688386383170643,0.2727272727272727,10
0,15,3,10,0.1,True,0.2444606965063444,0.09090909090909094,10
0,15,3,10,0.1,True,0.2777114265809172,0.18181818181818177,10
0,15,3,10,0.1,True,0.21999999999999997,0.36363636363636365,10
0,15,3,10,0.1,True,0.26076405433162475,0.18181818181818177,10
0,15,3,10,0.1,True,0.2753913821656476,0.4545454545454546,10
0,15,3,10,0.1,False,0.25086016140887946,,0
0,15,3,10,0.1,True,0.24330316881663594,0.2727272727272727,10
0,15,3,10,0.1,True,0.21999999999999997,0.0,10
0,15,3,10,0.1,True,0.267682891893292,0.18181818181818177,10
0,15,3,10,0.1,True,0.2743407965841197,0.2727272727272727,10
0,15,3,10,0.1,True,0.2548743193448395,0.18181818181818177,10
0,15,3,10,0.1,True,0.25837841830216945,0.09090909090909094,10
0,15,3,10,0.1,False,0.27269842411270717,,0
0,15,3,10,0.1,False,0.34055563612521,,0
0,15,3,10,0.1,True,0.2517519762455661,0.18181818181818182,10
0,15,3,10,0.1,True,0.25639749843248283,0.36363636363636365,10
0,15,3,10,0.1,True,0.4552038851314645,0.45454545454545453,10
0,15,3,10,0.1,True,0.08766913223696537,0.18181818181818182,10
0,15,3,10,0.1,True,0.4233358167979584,0.36363636363636365,10
0,15,3,10,0.1,True,0.2609573437158188,0.36363636363636365,10
0,15,3,10,0.1,True,0.3152884966972582,0.2727272727272727,10
0,15,3,10,0.1,True,0.36642671784133274,0.2727272727272727,10
0,15,3,10,0.1,True,0.4425935615790393,0.45454545454545453,10
0,15,3,10,0.1,True,0.22737204518486398,0.18181818181818182,10
0,15,3,10,0.1,True,0.40583872729616377,0.36363636363636365,10
0,15,3,10,0.1,True,0.2628492389990733,0.0,10
0,15,3,10,0.1,True,0.12932890176001377,0.0,10
0,15,3,10,0.1,True,0.30177659345984054,0.36363636363636365,10
0,15,3,10,0.1,True,0.2871833359930176,0.0,10
0,15,3,10,0.1,True,0.1955487812808595,0.18181818181818182,10
0,15,3,10,0.1,True,0.25804389236749103,0.36363636363636365,10
0,15,3,10,0.1,True,0.07999999999999996,0.09090909090909094,10
0,15,3,10,0.1,True,0.07999999999999996,0.0,10
0,15,3,10,0.1,True,0.25696482868647486,0.2727272727272727,10
0,15,3,10,0.1,True,0.16397034255464682,0.2727272727272727,10
0,15,3,10,0.1,True,0.1459957958401732,0.09090909090909094,10
0,15,3,10,0.1,True,0.27198810399037,0.18181818181818177,10
0,15,3,10,0.1,True,0.2678160943511564,0.2727272727272727,10
0,15,3,10,0.1,True,0.25525238523622296,0.18181818181818177,10
0,15,3,10,0.1,True,0.2735188351474317,0.0,10
0,15,3,10,0.1,True,0.21999999999999997,0.2727272727272727,10
0,15,3,10,0.1,True,0.2753822179743116,0.09090909090909094,10
0,15,3,10,0.1,True,0.2757183287517131,0.09090909090909094,10
